OBJECTID,JURIS,CITYNAME,SHAPE_Length,SHAPE_Area
1,AL,Algona,38144.6671787663,36411045.81911
2,AU,Auburn,208679.325076434,785915572.159009
3,BA,Beaux Arts,6720.78580239548,2274706.65404921
4,BD,Black Diamond,6629.56958821086,2412696.7229177
5,BD,Black Diamond,85786.1071157801,198366063.758258
6,BE,Bellevue,197801.20750821,975527104.707646
7,BO,Bothell,72519.131981775,201828283.203042
8,BO,Bothell,5210.20953522168,76447.5552373852
9,BU,Burien,114940.123923363,280182058.650153
10,CA,Carnation,3319.44511494186,501622.015889586
11,CA,Carnation,9309.66391279667,3851214.96806103
12,CA,Carnation,34055.5456403264,28314688.8156885
13,CH,Clyde Hill,23926.0651868767,29480423.6034684
14,CO,Covington,110089.690648675,168567918.962691
15,DM,Des Moines,1.51449791446316,0.00497851936109017
16,DM,Des Moines,105365.686707833,183827088.625982
17,DU,Duvall,5555.23171597056,1532704.11914213
18,DU,Duvall,65284.1540908744,66439295.0727383
19,EN,Enumclaw,4367.19914890707,1101355.16055904
20,EN,Enumclaw,240.014401097153,3599.97416412996
21,EN,Enumclaw,3306.80080571941,653400.431135303
22,EN,Enumclaw,841.481853726846,44252.6545440675
23,EN,Enumclaw,93663.6149912074,141714342.960964
24,EN,Enumclaw,4530.39247190131,1133084.35321967
25,EN,Enumclaw,600.235997278629,22509.7606623189
26,FW,Federal Way,136633.160349599,631216945.455281
27,HP,Hunts Point,16346.5014104032,12575690.1031829
28,IS,Issaquah,185565.976859159,340183234.175759
29,KC,King County,2715.17682763619,459892.849385255
30,KC,King County,355.539299276229,4415.63135338693
31,KC,King County,5183.45489326355,971221.231281918
32,KC,King County,4258.85977279429,864696.173463755
33,KC,King County,8597.55427090598,1277474.21818231
34,KC,King County,736.430194616691,20028.7589644922
35,KC,King County,68.8849868111038,106.681279695171
36,KC,King County,36858.6809283202,32243066.7617438
37,KC,King County,156744.325574137,286147695.425129
38,KC,King County,12147.1660425119,3777487.88003269
39,KC,King County,2879.99533222752,75355.6401915304
40,KC,King County,15715.2098461236,3684201.96439516
41,KC,King County,1482.45127270286,56881.5184646697
42,KC,King County,948.66566395623,12570.7553470813
43,KC,King County,3548.51512794308,358712.037087767
44,KC,King County,6087.72265801339,90404.2521056859
45,KC,King County,17292.8469234661,4831368.73789414
46,KC,King County,4463.31852671547,561395.457697492
47,KC,King County,68266.3353075767,98225580.1926024
48,KC,King County,3586.32906114115,257562.776581786
49,KC,King County,252083.969436067,2889487969.74252
50,KC,King County,1590.7774718757,144425.373961695
51,KC,King County,1165.56825713014,83254.4209273145
52,KC,King County,57664.1362601049,56356344.6334438
53,KC,King County,23671.7540689526,20576120.7204739
54,KC,King County,26779.3937260969,29571782.7503946
55,KC,King County,3123.96240397565,598562.134631732
56,KC,King County,1559.63286659491,56411.729737928
57,KC,King County,438016.069661297,631108374.265607
58,KC,King County,3020.78081639846,107627.496654762
59,KC,King County,4142.82708488165,79145.0660892331
60,KC,King County,2268652.16779084,46422367966.8001
61,KC,King County,1692.59127543765,24001.3259500267
62,KC,King County,1276.85216646947,19546.5556741483
63,KC,King County,6383.85480684387,126196.193314899
64,KC,King County,23545.7833022845,533528.711097241
65,KC,King County,5378.33462428593,79619.1598642734
66,KC,King County,60266.2206774529,171006491.641129
67,KE,Kent,13284.492531373,6790029.801611
68,KE,Kent,7927.81881860599,3327652.32693734
69,KE,Kent,7368.86844209116,2038638.17973318
70,KE,Kent,15759.2202326006,13797451.2162955
71,KE,Kent,6795.10637890592,1869191.35543773
72,KE,Kent,241343.829465843,931036999.676672
73,KI,Kirkland,144925.959496959,506140410.31357
74,KM,Kenmore,70804.4570372213,175084912.881279
75,LF,Lake Forest Park,60545.1425197156,100216995.995496
76,ME,Medina,37691.2330005007,48398936.6918354
77,MI,Mercer Island,76532.4388899273,176323952.898108
78,MT,Milton,25623.801496157,17793432.9413163
79,MV,Maple Valley,84956.3367951518,172223585.010478
80,NB,North Bend,102946.19943182,123423612.047402
81,NC,Newcastle,61752.7178096855,124359975.379096
82,NP,Normandy Park,55604.9413577326,70815502.9459397
83,PA,Pacific,35985.1203838763,50876534.5998543
84,RM,Redmond,7059.64438153232,2948756.64046922
85,RM,Redmond,153770.812913563,440993004.655245
86,RM,Redmond,27014.7247111833,36040038.9324183
87,RN,Renton,1084.04399807191,73399.2372276393
88,RN,Renton,232067.257075813,660972043.894279
89,SE,Seattle,341855.700552135,3997736555.69039
90,SH,Shoreline,91986.2245486824,322960481.510955
91,SK,Skykomish,2215.25770912839,278764.24112047
92,SK,Skykomish,15494.0506902898,9015517.29872134
93,SM,Sammamish,168092.960388418,670552511.169796
94,SN,Snoqualmie,2725.06242734044,312455.019353664
95,SN,Snoqualmie,11800.5694583666,5446068.95869509
96,SN,Snoqualmie,114948.303877912,201058909.126858
97,ST,SeaTac,101640.458450248,286641949.18702
98,TU,Tukwila,125946.874690788,268308357.780301
99,WO,Woodinville,89644.6207066702,157731131.819049
100,YP,Yarrow Point,16975.5216534155,13210699.0924134
